"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2018","250054","Tilden HS -CPS","Exempt","4747 S Union Ave","60609",,"true","NEW CITY",,"328,514",,"1","1,849",,,,,,,,,,,,,"41.80752063","-87.64210109","POINT (-87.64210109 41.80752063)"
"2018","256430","Cunningham Hall","Exempt","3100 S Michigan Avenue","60616",,"true","DOUGLAS",,"70,269",,"1",,,,,,,,,,,,,,"41.842325","-87.62715344","POINT (-87.62715344 41.842325)"
"2018","174184",,"Exempt","2545 2555 S MARTIN LUTHER KING DR","60616",,"true","NEAR SOUTH SIDE",,"370,547",,"1","226",,,,,,,,,,,,,"41.84655399","-87.6170439","POINT (-87.6170439 41.84655399)"
"2018","175676","4554 N BROADWAY ST","Not Submitted","4554 N BROADWAY ST","60640","0.0","false","UPTOWN",,"90,000",,"1",,,,,,,,,,,,,,"41.96465048","-87.65732443","POINT (-87.65732443 41.96465048)"
"2018","101572","King College Prep -CPS","Exempt","4445 S Drexel Blvd","60653",,"true","KENWOOD",,"310,545",,"1","50",,,,,,,,,,,,,"41.81384927","-87.60295407","POINT (-87.60295407 41.81384927)"
"2018","103617","33 E Congress","Not Submitted","33 E Congress Pkwy","60605","0.0","false","LOOP",,"153,876",,"1","984",,,,,,,,,,,,,"41.87540112","-87.62651136","POINT (-87.62651136 41.87540112)"
"2018","172637",,"Exempt","800 900 W 115TH ST","60643",,"true","MORGAN PARK",,"170,500",,"1","18",,,,,,,,,,,,,"41.6981819","-87.66236671","POINT (-87.66236671 41.6981819)"
"2018","101263","900 W ARGYLE ST","Not Submitted","900 W ARGYLE ST","60640","0.0","false","UPTOWN",,"72,000",,"1","3,226",,,,,,,,,,,,,"41.97223008","-87.6645957","POINT (-87.6645957 41.97223008)"
"2018","173751",,"Exempt","3134 N Clark St","60657",,"true","LAKE VIEW",,"57,582",,"1","174",,,,,,,,,,,,,"41.93876814","-87.64971015","POINT (-87.64971015 41.93876814)"
"2018","175126",,"Exempt","7750 7752 S MUSKEGON AVE","60649",,"true","SOUTH SHORE",,"50,659",,"1","2,863",,,,,,,,,,,,,"41.76259226","-87.57231648","POINT (-87.57231648 41.76259226)"
"2018","251525","Tilton-CPS","Exempt","223 N Keeler Ave","60624",,"true","WEST GARFIELD PARK",,"104,888",,"1","1,550",,,,,,,,,,,,,"41.88386042","-87.73025708","POINT (-87.73025708 41.88386042)"
"2018","156139",,"Exempt","300 308 N MICHIGAN AVE","60601",,"true","LOOP",,"90,000",,"1","78",,,,,,,,,,,,,"41.88705869","-87.62457697","POINT (-87.62457697 41.88705869)"
"2018","252078","UNO Soccer Academy High School","Not Submitted","5025 S ST LOUIS","60632","0.0","false","GAGE PARK",,"93,408",,"1","638",,,,,,,,,,,,,"41.80806486","-87.71097656","POINT (-87.71097656 41.80806486)"
"2018","102397",,"Exempt","1734 N PAULINA ST","60622",,"true","WEST TOWN",,"95,110",,"1","5,940",,,,,,,,,,,,,"41.90225377","-87.68447845","POINT (-87.68447845 41.90225377)"
"2018","250042","Crane Achievement Academy -CPS","Exempt","2245 W Jackson Blvd","60612",,"true","NEAR WEST SIDE",,"419,415",,"1","3,612",,,,,,,,,,,,,"41.87687683","-87.68324233","POINT (-87.68324233 41.87687683)"
"2018","101420","Chicago Acad-CPS","Submitted","3400 N Austin Ave","60634","2.0","false","DUNNING","K-12 School","250,844","1934","1","3,338","50","6,842,281.5","17,401,280.6",,,,"96.6","149.2","95.1","146.6","2,062.6","8.2","41.94253753","-87.77737003","POINT (-87.77737003 41.94253753)"
"2018","160414","Cambria Hotel","Submitted","32 w randolph","60601","4.0","false","LOOP","Hotel","246,313","1926","1","2,261","96","5,852,859.5","7,186,100",,,,"52.9","97.2","53.1","97.3","1,355.4","5.5","41.88503972","-87.62899559","POINT (-87.62899559 41.88503972)"
"2018","173625","Burnham 600","Submitted","600 W. Jackson Blvd.","60661","4.0","false","NEAR WEST SIDE","Office","103,863","1912","1","988","68","3,960,868","6,840,477.2",,,,"104","175.9","101.5","173.2","1,022.3","9.8","41.87801775","-87.64319149","POINT (-87.64319149 41.87801775)"
"2018","175603","Gateway Centre 175603 Building A (Marshalls)","Submitted","1701-1741 W. Howard","60626","1.0","false","ROGERS PARK","Strip Mall","66,676","1980","1","6,541",,"15,005,614.3","5,668,342.2",,,,"310.1","719.4","312.3","721.8","2,797.5","42","42.019356","-87.67389","POINT (-87.67389 42.019356)"
"2018","251684","Marine Lead-CPS","Submitted","1920 N Hamlin Ave","60647","2.5","false","LOGAN SQUARE","K-12 School","126,540","1997","1","706","60","4,342,636.6","4,698,507.6",,,,"71.4","135.1","69.8","133.3","972","7.7","41.9159824","-87.72248643","POINT (-87.72248643 41.9159824)"
"2018","251223","564 West Randolph","Submitted","564 West Randolph Street","60661","4.0","false","NEAR WEST SIDE","Office","119,829","1908","1","2,718","48","6,146,997.8","5,609,887.9",,,,"98.1","192.8","98.1","192.8","1,320.6","11","41.88463844","-87.64232477","POINT (-87.64232477 41.88463844)"
"2018","100431","1100 N Clark St","Exempt","1100 N Clark St","60610",,"true","NEAR NORTH SIDE",,"156,250",,"1","297",,,,,,,,,,,,,"41.90237775","-87.63184484","POINT (-87.63184484 41.90237775)"
"2018","251706","Gale Community Academy, Stephen F -CPS","Exempt","1631 W Jonquil Ter","60626",,"true","ROGERS PARK",,"157,400",,"1","1,548",,,,,,,,,,,,,"42.02112546","-87.67174773","POINT (-87.67174773 42.02112546)"
"2018","101839","120 South Riverside Plaza","Submitted","120 South Riverside Plaza","60606","4.0","false","NEAR WEST SIDE","Office","787,045","1966","1","8,034",,"27,877,353.6","19,661,199.2",,,,"60.4","125.4","59.3","124.2","5,682.1","7.2","41.87996528","-87.63907767","POINT (-87.63907767 41.87996528)"
"2018","115860","Printers Row Lofts","Submitted","732 S. Financial Place","60605","4.0","false","LOOP","Multifamily Housing","198,049","1908","1","4,294","94","2,755,425.1","9,213,199.8",,,,"60.4","87.8","55.8","82","947.8","4.8","41.86863212","-87.62730687","POINT (-87.62730687 41.86863212)"
"2018","251668","Ravenswood E-CPS","Submitted","4332 N PAULINA ST","60613","2.5","false","LAKE VIEW","K-12 School","76,423","1884","1","780","58","1,252,834.9","4,976,765.8",,,,"81.5","114.3","78.9","111.5","472.8","6.2","41.96092641","-87.6712754","POINT (-87.6712754 41.96092641)"
"2018","120347","1033 Van Buren","Submitted","1033 West Van Buren","60607","3.0","false","NEAR WEST SIDE","Office","82,712","1905","1","837","54","2,994,224.1","3,755,636.7",,,,"81.6","149","78.5","144.8","697.6","8.4","41.87626485","-87.65305417","POINT (-87.65305417 41.87626485)"
"2018","101869","Hotel Chicago","Submitted","333 N. Dearborn","60654","1.5","false","NEAR NORTH SIDE","Hotel","222,154","1960","1","8,605","36","8,514,543.6","6,038,373.2",,"8,848,223.9","7,864,700.1","140.7","214.7","141.3","215.5","2,725.8","12.3","41.88833261","-87.62950362","POINT (-87.62950362 41.88833261)"
"2018","173759","Plaza 32 Condominium Association","Submitted","3224-3244 N. Halsted St.","60657","3.0","false","LAKE VIEW","Multifamily Housing","273,284","2000","1","7,883","69","6,712,335.5","10,988,665.4",,,,"64.8","111","63.7","109.8","1,700.4","6.2","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2018","103409","7733 S SOUTH SHORE DR","Not Submitted","7733 S SOUTH SHORE DR","60649","0.0","false","SOUTH SHORE",,"70,812",,"1","5,204",,,,,,,,,,,,,"41.76259226","-87.57231648","POINT (-87.57231648 41.76259226)"
"2018","175415","Parkview Residences","Submitted","5920 N Ridge","60660","4.0","false","EDGEWATER","Multifamily Housing","55,000","1920","1","1","85","143,431.7","4,652,479.4",,,,"87.2","96.1","88.3","97.3","271","4.9","41.99090057","-87.66660744","POINT (-87.66660744 41.99090057)"
"2018","120267","Pete's Madison","Submitted","2333 W. Madison","60612","4.0","false","NEAR WEST SIDE","Supermarket/Grocery Store","66,000","2013","1","5,974","99","833,564.9","8,879,900.3",,,,"147.2","176.6",,,"610.3","9.2","41.881165","-87.684802","POINT (-87.684802 41.881165)"
