community_area,reporting_year,median_site_eui,median_ghg_emissions,mean_energy_star_score,median_water_use,num_buildings
ALBANY PARK,2019,79.05,670.0,57.53846153846154,2921.0,18
ALBANY PARK,2020,91.1,511.15,53.0,2211.0,17
ALBANY PARK,2021,74.65,620.7,63.92307692307692,,17
ALBANY PARK,2022,68.95,655.45,61.63636363636363,,17
ALBANY PARK,2023,76.6,699.9,57.36363636363637,,17
ARCHER HEIGHTS,2019,76.7,627.1,60.0,2079.5,6
ARCHER HEIGHTS,2020,79.5,850.4000000000001,39.666666666666664,1209.0,6
ARCHER HEIGHTS,2021,75.6,1570.25,48.25,,6
ARCHER HEIGHTS,2022,84.55000000000001,1599.1,42.0,,6
ARCHER HEIGHTS,2023,83.1,1444.7,44.0,,6
ARMOUR SQUARE,2019,69.8,742.8,62.666666666666664,3876.0,17
ARMOUR SQUARE,2020,62.8,59059.85,60.0,107950.0,17
ARMOUR SQUARE,2021,83.05,871.95,52.38461538461539,,17
ARMOUR SQUARE,2022,88.9,769.7,32.142857142857146,,17
ARMOUR SQUARE,2023,96.1,825.4,50.8,,17
ASHBURN,2019,74.5,651.3,45.142857142857146,1726.0,17
ASHBURN,2020,57.55,447.1,74.0,,17
ASHBURN,2021,58.2,490.3,60.46153846153846,,17
ASHBURN,2022,62.2,544.5,59.285714285714285,,17
ASHBURN,2023,71.8,532.7,56.666666666666664,,17
AUBURN GRESHAM,2019,92.25,699.4,35.18181818181818,1377.5,21
AUBURN GRESHAM,2020,70.1,993.5,50.75,7928.0,21
AUBURN GRESHAM,2021,84.5,569.95,35.92307692307692,,21
AUBURN GRESHAM,2022,84.8,471.0,52.42857142857143,,21
AUBURN GRESHAM,2023,95.4,512.2,39.2,,21
AUSTIN,2019,93.9,768.8,41.457142857142856,1836.0,54
AUSTIN,2020,100.1,519.6,45.526315789473685,2219.5,54
AUSTIN,2021,79.65,686.3,47.026315789473685,,54
AUSTIN,2022,86.0,484.4,49.65217391304348,,54
AUSTIN,2023,91.4,509.8,52.1,,54
AVALON PARK,2019,66.0,534.1,83.0,630.0,5
AVALON PARK,2020,70.8,,77.0,,5
AVALON PARK,2021,71.0,553.55,58.5,,5
AVALON PARK,2022,67.6,495.6,77.0,,5
AVALON PARK,2023,65.0,465.0,83.0,,5
AVONDALE,2019,80.7,909.5,52.90909090909091,1038.0,18
AVONDALE,2020,80.4,775.7,57.714285714285715,909.0,18
AVONDALE,2021,75.55,746.6500000000001,60.54545454545455,,18
AVONDALE,2022,72.75,766.5,49.875,,18
AVONDALE,2023,88.1,816.05,50.77777777777778,,18
Albany Park,2019,42.8,407.45,100.0,1380.5,2
Albany Park,2020,59.5,543.7,,,2
Albany Park,2021,52.75,361.75,100.0,,3
Albany Park,2022,57.6,371.20000000000005,100.0,,3
Albany Park,2023,62.599999999999994,674.25,,,3
Albany Park,2024,69.15,583.9000000000001,60.25,2423.0,21
Archer Heights,2019,54.3,993.7,,1706.0,1
Archer Heights,2020,55.5,951.2,,,1
Archer Heights,2021,46.2,799.0,,,1
Archer Heights,2022,79.1,1180.8,,,1
Archer Heights,2023,76.2,1041.6,,,1
Archer Heights,2024,77.2,1216.5,44.6,1063.0,7
Armour Square,2019,61.65,486.4,90.5,4010.5,2
Armour Square,2020,60.3,,91.0,,2
Armour Square,2021,52.95,426.95,93.5,,2
Armour Square,2022,54.55,406.05,93.0,,2
Armour Square,2023,55.75,382.5,95.0,,2
Armour Square,2024,94.3,588.6,58.0,56630.5,17
Ashburn,2024,67.4,550.4,53.083333333333336,1551.0,17
Auburn Gresham,2019,98.85,629.0,37.0,3482.0,2
Auburn Gresham,2020,84.80000000000001,517.8,62.0,4440.5,2
Auburn Gresham,2021,98.3,589.05,34.5,,2
Auburn Gresham,2022,91.8,523.55,46.5,,2
Auburn Gresham,2023,92.95,496.4,52.5,,2
Auburn Gresham,2024,79.4,465.7,44.09090909090909,10210.5,23
Austin,2019,,,,812.0,2
Austin,2020,,,,,2
Austin,2021,,,,,2
Austin,2022,,,,,2
Austin,2023,,,,,2
Austin,2024,78.9,548.2,46.27272727272727,4457.5,53
Avalon Park,2019,58.6,530.4,95.0,6366.0,1
Avalon Park,2020,59.4,,96.0,,1
Avalon Park,2021,58.6,509.1,93.0,,1
Avalon Park,2022,57.3,472.2,94.0,,1
Avalon Park,2023,58.0,469.7,94.0,,1
Avalon Park,2024,55.6,446.45,88.5,,5
Avondale,2019,54.8,492.2,75.0,427.0,1
Avondale,2020,94.3,698.1,36.0,498.0,1
Avondale,2021,57.1,469.5,71.0,,2
Avondale,2022,,,,,2
Avondale,2023,,,,,2
Avondale,2024,73.15,663.3,56.90909090909091,2715.0,21
BELMONT CRAGIN,2019,84.6,1156.4499999999998,50.0,2660.5,22
BELMONT CRAGIN,2020,96.0,1725.7,56.2,1292.0,22
BELMONT CRAGIN,2021,70.6,820.5,59.77777777777778,,22
BELMONT CRAGIN,2022,74.5,852.9,56.35294117647059,,22
BELMONT CRAGIN,2023,78.1,874.8,55.88235294117647,,22
BEVERLY,2019,89.45,746.8000000000001,55.0,835.5,2
BEVERLY,2020,111.6,,35.0,,2
BEVERLY,2021,76.8,631.05,63.0,,2
BEVERLY,2022,80.4,614.1,46.0,,2
BEVERLY,2023,81.5,571.4000000000001,46.0,,2
BRIDGEPORT,2019,79.9,577.1,53.111111111111114,1583.5,10
BRIDGEPORT,2020,118.7,1305.6,35.5,,10
BRIDGEPORT,2021,80.2,503.4,51.125,,10
BRIDGEPORT,2022,78.0,481.3,52.6,,10
BRIDGEPORT,2023,88.80000000000001,609.4,42.285714285714285,,10
BRIGHTON PARK,2019,87.35,753.3499999999999,52.0,629.0,14
BRIGHTON PARK,2020,106.1,1032.1,31.0,,14
BRIGHTON PARK,2021,79.2,685.6,48.4,,14
BRIGHTON PARK,2022,80.4,721.3,40.375,,14
BRIGHTON PARK,2023,70.4,756.4,40.75,,14
BURNSIDE,2019,62.4,873.2,70.0,4082.0,3
BURNSIDE,2020,44.0,668.9,92.0,4434.0,3
BURNSIDE,2021,68.9,665.0,54.5,,3
BURNSIDE,2022,56.0,740.4,74.0,,3
BURNSIDE,2023,59.2,734.4,77.0,,3
Belmont Cragin,2019,56.7,565.7,49.0,2208.0,1
Belmont Cragin,2020,53.6,566.0,45.0,2176.0,2
Belmont Cragin,2021,64.3,505.8,48.0,,2
Belmont Cragin,2022,54.7,430.9,61.0,,2
Belmont Cragin,2023,49.7,415.4,62.0,,2
Belmont Cragin,2024,62.599999999999994,586.35,59.57142857142857,1964.0,24
Beverly,2024,77.15,566.15,43.0,855.0,2
Bridgeport,2019,,,,2897.0,1
Bridgeport,2020,,,,,1
Bridgeport,2021,102.8,727.9,15.0,,1
Bridgeport,2022,,,,,1
Bridgeport,2023,,,,,1
Bridgeport,2024,72.0,425.4,55.333333333333336,3287.5,10
Brighton Park,2024,75.5,623.2,34.18181818181818,,16
Burnside,2024,,,,,2
CALUMET HEIGHTS,2019,177.4,4491.5,39.0,5878.5,3
CALUMET HEIGHTS,2020,101.5,,31.0,,3
CALUMET HEIGHTS,2021,164.5,3960.8999999999996,45.5,,3
CALUMET HEIGHTS,2022,162.3,3802.3,46.5,,3
CALUMET HEIGHTS,2023,177.64999999999998,3661.5,40.0,,3
CHATHAM,2019,96.9,1257.9,41.72727272727273,2176.0,22
CHATHAM,2020,108.0,1443.6,32.2,5392.0,21
CHATHAM,2021,89.1,587.05,48.15384615384615,,21
CHATHAM,2022,77.0,821.2,51.3,,20
CHATHAM,2023,76.8,523.3,55.7,,20
CHICAGO LAWN,2019,98.7,769.5,39.6,3260.0,12
CHICAGO LAWN,2020,99.30000000000001,676.3,45.5,,12
CHICAGO LAWN,2021,64.6,675.9,59.18181818181818,,12
CHICAGO LAWN,2022,58.5,646.5,57.8,,12
CHICAGO LAWN,2023,72.2,916.3,51.55555555555556,,12
CLEARING,2019,71.3,535.8,65.0,1176.0,1
CLEARING,2020,,,,,1
CLEARING,2021,73.8,508.6,65.0,,1
CLEARING,2022,65.3,451.8,73.0,,1
CLEARING,2023,66.7,448.3,75.0,,1
Calumet Heights,2021,,,,,1
Calumet Heights,2022,69.8,782.1,60.0,,1
Calumet Heights,2023,87.5,865.2,42.0,,1
Calumet Heights,2024,134.5,898.5,36.333333333333336,493.0,4
Chatham,2024,78.15,633.7,54.18181818181818,1000.0,20
Chicago Lawn,2024,63.5,820.8,54.77777777777778,4620.0,11
Clearing,2020,,,,,1
Clearing,2021,84.3,836.0,22.0,,1
Clearing,2022,,,,,1
Clearing,2023,,,,,1
Clearing,2024,52.85,478.65000000000003,67.5,,2
DOUGLAS,2019,116.3,1075.9,47.0,4688.0,74
DOUGLAS,2020,124.55,824.4,38.65217391304348,17896.0,74
DOUGLAS,2021,95.2,1064.8,48.71875,,74
