"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2019","175695","Le Cordon Bleu College of Culinary Arts","Exempt","361 W CHESTNUT ST",,,"true","NEAR NORTH SIDE",,,,,,,,,,,,,,,,,,"41.89797629","-87.63836984","POINT (-87.63836984 41.89797629)"
"2019","104735","2516 2526 N KEDZIE BLVD","Not Submitted","2516 2526 N KEDZIE BLVD",,"0.0","false","LOGAN SQUARE",,,,,,,,,,,,,,,,,,"41.92075046","-87.70152825","POINT (-87.70152825 41.92075046)"
"2019","158061","Edgewater Medical Center (vacant)","Not Submitted","5700 N ASHLAND AVE",,"0.0","false","EDGEWATER",,,,,,,,,,,,,,,,,,"41.98552836","-87.67026391","POINT (-87.67026391 41.98552836)"
"2019","119799","Lowes Home Improvement","Not Submitted","7971 S CICERO AVE",,"0.0","false","ASHBURN",,,,,,,,,,,,,,,,,,"41.74665058","-87.73987193","POINT (-87.73987193 41.74665058)"
"2019","251869","Albany Square","Not Submitted","4445 N PULASKI RD",,"0.0","false",,,,,,,,,,,,,,,,,,,,,
"2019","165819","Washington Park SRO","Not Submitted","5000 5016 S INDIANA AVE",,"0.0","false","GRAND BOULEVARD",,,,,,,,,,,,,,,,,,"41.80363832","-87.62178136","POINT (-87.62178136 41.80363832)"
"2019","256565","111 S Peoria St","Not Submitted","111 S Peoria St",,"0.0","false",,,,,,,,,,,,,,,,,,,,,
"2019","146019","Kimball Station","Not Submitted","4730  N KIMBALL AVE",,"0.0","false","ALBANY PARK",,,,,,,,,,,,,,,,,,"41.97208235","-87.70234945","POINT (-87.70234945 41.97208235)"
"2019","102532","Advocate Trinity Hospital","Submitted","2320 E 93rd St",,"3.0","false","CALUMET HEIGHTS",,,,,,,,,,,,,,,,,,"41.72673518","-87.56695195","POINT (-87.56695195 41.72673518)"
"2019","173831","YMCA of Metro Chicago","Not Submitted","3333 N MARSHFIELD AVE",,"0.0","false","LAKE VIEW",,,,,,,,,,,,,,,,,,"41.94246355","-87.66961411","POINT (-87.66961411 41.94246355)"
"2019","175699","6700 S CONSTANCE AVE","Not Submitted","6700  S CONSTANCE AVE",,"0.0","false","SOUTH SHORE",,,,,,,,,,,,,,,,,,"41.76259226","-87.57231648","POINT (-87.57231648 41.76259226)"
"2019","164965","S3-Sinai","Not Submitted","2653 W OGDEN AVE",,"0.0","false","NORTH LAWNDALE",,,,,,,,,,,,,,,,,,"41.86174002","-87.69294361","POINT (-87.69294361 41.86174002)"
"2019","150324","The Contemporaine","Not Submitted","201 W Grand Ave",,"0.0","false","NEAR NORTH SIDE",,,,,,,,,,,,,,,,,,"41.89198218","-87.63699623","POINT (-87.63699623 41.89198218)"
"2019","100733",,"Exempt","840 S CANAL ST",,,"true","NEAR WEST SIDE",,,,,,,,,,,,,,,,,,"41.87093779","-87.64012731","POINT (-87.64012731 41.87093779)"
"2019","175830","Riverfront Plaza","Not Submitted","2665 N Elston Ave",,"0.0","false","LOGAN SQUARE",,,,,,,,,,,,,,,,,,"41.93034981","-87.68219109","POINT (-87.68219109 41.93034981)"
"2019","100623","1345 1359 W ESTES AVE","Not Submitted","1345 1359 W ESTES AVE",,"0.0","false","ROGERS PARK",,,,,,,,,,,,,,,,,,"42.01036185","-87.66829765","POINT (-87.66829765 42.01036185)"
"2019","101867","125 South Wacker","Submitted","125 S Wacker Dr","60606","3.0","false","LOOP","Office","641,962","1974","1",,"61","40,819,939.7",,,,,"63.6",,,,,,"41.8797333","-87.63641137","POINT (-87.63641137 41.8797333)"
"2019","172544","Tech Business Center","Submitted","3440 S DEARBORN ST",,"1.0","false","DOUGLAS",,,,,,,,,,,,,,,,,,"41.83131494","-87.62845898","POINT (-87.62845898 41.83131494)"
"2019","160326","1010 W 35TH ST","Not Submitted","1010 W 35TH ST",,"0.0","false","BRIDGEPORT",,,,,,,,,,,,,,,,,,"41.83093022","-87.6519988","POINT (-87.6519988 41.83093022)"
"2019","250016","Loyola Park","Not Submitted","1230 W Greenleaf Ave",,"0.0","false","ROGERS PARK",,,,,,,,,,,,,,,,,,"42.01090028","-87.66161276","POINT (-87.66161276 42.01090028)"
"2019","125763","Kmart","Exempt","7050 S Pulaski Rd",,,"true","WEST LAWN",,,,,,,,,,,,,,,,,,"41.76348715","-87.72390353","POINT (-87.72390353 41.76348715)"
"2019","102854","Hyde Park West Apartments & Townhomes","Not Submitted","5325  S COTTAGE GROVE AVE",,"0.0","false","HYDE PARK",,,,,,,,,,,,,,,,,,"41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2019","161901","Higgins C A -CPS","Not Submitted","11710 S Morgan St",,"0.0","false","WEST PULLMAN",,,,,,,,,,,,,,,,,,"41.68091744","-87.64744458","POINT (-87.64744458 41.68091744)"
"2019","175113",,"Exempt","8039 8045 S MANISTEE AVE",,,"true","SOUTH CHICAGO",,,,,,,,,,,,,,,,,,"41.7272413","-87.55513633","POINT (-87.55513633 41.7272413)"
"2019","174693","809 E 40TH ST","Not Submitted","809  E 40TH ST",,"0.0","false","OAKLAND",,,,,,,,,,,,,,,,,,"41.82021138","-87.61246867","POINT (-87.61246867 41.82021138)"
"2019","251880","Tonti -CPS","Not Submitted","5815 S Homan Ave",,"0.0","false","GAGE PARK",,,,,,,,,,,,,,,,,,"41.78740764","-87.70774371","POINT (-87.70774371 41.78740764)"
"2019","255956","465 N Park Dr","Not Submitted","465 N Park Dr",,"0.0","false","NEAR NORTH SIDE",,,,,,,,,,,,,,,,,,"41.89524","-87.6232","POINT (-87.6232 41.89524)"
"2019","106128",,"Exempt","5530 5548 N SHERIDAN RD",,,"true","EDGEWATER",,,,,,,,,,,,,,,,,,"41.97223008","-87.6645957","POINT (-87.6645957 41.97223008)"
"2019","175330",,"Exempt","7107 7129 S BENNETT AVE",,,"true","SOUTH SHORE",,,,,,,,,,,,,,,,,,"41.76259226","-87.57231648","POINT (-87.57231648 41.76259226)"
"2019","250079","Ada S Dennison-McKlinley Apts","Not Submitted","661 E 69th St",,"0.0","false","WOODLAWN",,,,,,,,,,,,,,,,,,"41.769414","-87.608999","POINT (-87.608999 41.769414)"
"2019","251489","Stowe -CPS","Not Submitted","3444 W Wabansia Ave",,"0.0","false","HUMBOLDT PARK",,,,,,,,,,,,,,,,,,"41.91251827","-87.71313894","POINT (-87.71313894 41.91251827)"
"2019","103781","625 N Michigan Ave","Submitted","625 N Michigan Ave",,"4.0","false","NEAR NORTH SIDE",,,,,,,,,,,,,,,,,,"41.893122","-87.624155","POINT (-87.624155 41.893122)"
"2019","159575","Webster House Apartments","Not Submitted","2150 N LINCOLN PARK",,"0.0","false","LINCOLN PARK",,,,,,,,,,,,,,,,,,"41.92173911","-87.63682868","POINT (-87.63682868 41.92173911)"
"2019","251545","Metcalfe Math And Science -CPS","Not Submitted","12339 S Normal Ave",,"0.0","false","WEST PULLMAN",,,,,,,,,,,,,,,,,,"41.66947303","-87.63400634","POINT (-87.63400634 41.66947303)"
"2019","164102","First Presbyterian Church","Not Submitted","6400 S Kimbark Ave",,"0.0","false","WOODLAWN",,,,,,,,,,,,,,,,,,"41.77840382","-87.59508184","POINT (-87.59508184 41.77840382)"
"2019","101713","Aon Center","Submitted","200 E Randolph St","60601","3.5","false","LOOP","Office","3,193,966","1972","1",,"76","115,544,104.5","104,670,562.1",,,,"92.6",,,,,,"41.88529085","-87.62152084","POINT (-87.62152084 41.88529085)"
"2019","250017","Humboldt Park","Not Submitted","1440 N Sacramento Dr",,"0.0","false","NORTH LAWNDALE",,,,,,,,,,,,,,,,,,"41.906756","-87.701357","POINT (-87.701357 41.906756)"
"2019","250018","Douglas Park","Not Submitted","1401 S Sacramento Dr",,"0.0","false","NORTH LAWNDALE",,,,,,,,,,,,,,,,,,"41.8623929","-87.69974253","POINT (-87.69974253 41.8623929)"
"2019","250019","Calumet Park","Not Submitted","9801 S Avenue G",,"0.0","false","EAST SIDE",,,,,,,,,,,,,,,,,,"41.71338088","-87.52791304","POINT (-87.52791304 41.71338088)"
"2019","101748","One South Wacker","Submitted","1 S Wacker","60606","3.5","false","LOOP","Office","1,343,438","1982","1",,"80","65,204,718.9",,,,,"49.1",,,,,,"41.88155817","-87.63615089","POINT (-87.63615089 41.88155817)"
"2019","171956","465 W CERMAK RD","Not Submitted","465 W CERMAK RD",,"0.0","false","ARMOUR SQUARE",,,,,,,,,,,,,,,,,,"41.85228915","-87.63994745","POINT (-87.63994745 41.85228915)"
"2019","173914","Jeffery Plaza","Exempt","2101 E 71ST ST",,,"true","SOUTH SHORE",,,,,,,,,,,,,,,,,,"41.76509567","-87.57550953","POINT (-87.57550953 41.76509567)"
"2019","116644","2019 - 60 E 36th","Not Submitted","60  E 36TH PL",,"0.0","false","DOUGLAS",,,,,,,,,,,,,,,,,,"41.82021138","-87.61246867","POINT (-87.61246867 41.82021138)"
"2019","167641","Mason Elementary -CPS","Not Submitted","4217 W 18th St",,"0.0","false","NORTH LAWNDALE",,,,,,,,,,,,,,,,,,"41.856933","-87.730587","POINT (-87.730587 41.856933)"
"2019","125543","Lincoln Village 1","Not Submitted","6103 N LINCOLN AVE",,"0.0","false","NORTH PARK",,,,,,,,,,,,,,,,,,"41.99301656","-87.71161461","POINT (-87.71161461 41.99301656)"
"2019","101815","Magnolia Gardens, LLC","Submitted","4845 4859 N MAGNOLIA AVE","60640","3.5","false","UPTOWN",,,,,,"71","444,508.5","3,453,208.1",,,,"76.4","95.5","75.5",,,,"41.97223008","-87.6645957","POINT (-87.6645957 41.97223008)"
"2019","103598","222 N LaSalle St","Submitted","222 N LaSalle St","60601","4.0","false","LOOP","Office","1,217,630","1986","1",,"80","53,329,116.4",,,,,"43.8",,,,,,"41.88651518","-87.6332446","POINT (-87.6332446 41.88651518)"
"2019","103602","190 S LaSalle St","Submitted","190 S LaSalle St","60603","3.5","false","LOOP","Office","882,560","1985","1",,"73","60,852,678.8","973,320.2",,,,"70.1",,,,,,"41.8797561","-87.63268685","POINT (-87.63268685 41.8797561)"
"2019","129245","Mill Works","Not Submitted","2011 2023 W BELMONT AVE",,"0.0","false","NORTH CENTER",,,,,,,,,,,,,,,,,,"41.94672055","-87.70319673","POINT (-87.70319673 41.94672055)"
"2019","117367","Merrimac Square II","Not Submitted","6526  W IRVING PARK RD",,"0.0","false","DUNNING",,,,,,,,,,,,,,,,,,"41.94530408","-87.80186746","POINT (-87.80186746 41.94530408)"
"2019","172542","Lake Vista Apartments","Not Submitted","1430  S INDIANA AVE",,"0.0","false","NEAR SOUTH SIDE",,,,,,,,,,,,,,,,,,"41.86863212","-87.62730687","POINT (-87.62730687 41.86863212)"
"2019","250020","Gage Park","Not Submitted","2411 W 55th St",,"0.0","false","GAGE PARK",,,,,,,,,,,,,,,,,,"41.79382847","-87.68432907","POINT (-87.68432907 41.79382847)"
"2019","101919","Marquette Building","Not Submitted","140 S Dearborn St",,"0.0","false","LOOP",,,,,,,,,,,,,,,,,,"41.87977522","-87.62973114","POINT (-87.62973114 41.87977522)"
"2019","104879","2600 N Hampden","Submitted","2600  N HAMPDEN CT","60614","4.0","false","LINCOLN PARK",,,,,,"74","2,725,007.8",,,,,"41.9","117.4","41.1",,,,"41.92201051","-87.65461957","POINT (-87.65461957 41.92201051)"
"2019","114874","4900 4918 S DREXEL BLVD","Not Submitted","4900 4918 S DREXEL BLVD",,"0.0","false","KENWOOD",,,,,,,,,,,,,,,,,,"41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2019","101751",,"Exempt","7500  S SOUTH SHORE DR",,,"true","SOUTH SHORE",,,,,,,,,,,,,,,,,,"41.76259226","-87.57231648","POINT (-87.57231648 41.76259226)"
"2019","100469","5527 5537 S EVERETT AVE","Not Submitted","5527 5537 S EVERETT AVE",,"0.0","false","HYDE PARK",,,,,,,,,,,,,,,,,,"41.78046327","-87.6053081","POINT (-87.6053081 41.78046327)"
"2019","120445","1 - 15 E Oak St","Not Submitted","1 - 15 E Oak St",,"0.0","false","NEAR NORTH SIDE",,,,,,,,,,,,,,,,,,"41.90069946","-87.627748","POINT (-87.627748 41.90069946)"
"2019","123973","Dream Town","Exempt","4032 W Madison St",,,"true","WEST GARFIELD PARK",,,,,,,,,,,,,,,,,,"41.88110552","-87.72691131","POINT (-87.72691131 41.88110552)"
"2019","128007","7248 7256 N WESTERN AVE","Not Submitted","7248 7256 N WESTERN AVE",,"0.0","false","WEST RIDGE",,,,,,,,,,,,,,,,,,"42.00880199","-87.69502812","POINT (-87.69502812 42.00880199)"
"2019","101329","340 E 38TH ST","Not Submitted","340  E 38TH ST",,"0.0","false","DOUGLAS",,,,,,,,,,,,,,,,,,"41.82021138","-87.61246867","POINT (-87.61246867 41.82021138)"
"2019","159044","Lidia Puchinska Apartments","Not Submitted","838 N Noble St",,"0.0","false","WEST TOWN",,,,,,,,,,,,,,,,,,"41.89750905","-87.66328018","POINT (-87.66328018 41.89750905)"
"2019","128088","Fairmont Care Center","Not Submitted","5061  N PULASKI RD",,"0.0","false","ALBANY PARK",,,,,,,,,,,,,,,,,,"41.97200414","-87.75756578","POINT (-87.75756578 41.97200414)"
"2019","115775","6715 6723 S PAXTON AVE","Not Submitted","6715 6723 S PAXTON AVE",,"0.0","false","SOUTH SHORE",,,,,,,,,,,,,,,,,,"41.76259226","-87.57231648","POINT (-87.57231648 41.76259226)"
"2019","101969","Chicago Temple Building","Submitted","77 W Washington","60602",,"true","LOOP","Office","238,531","1924","1",,,"9,930,486.1",,,,,,,,,,,"41.88285519","-87.6306155","POINT (-87.6306155 41.88285519)"
"2019","109510","4922 4942 S CORNELL AVE","Not Submitted","4922 4942 S CORNELL AVE",,"0.0","false","KENWOOD",,,,,,,,,,,,,,,,,,"41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2019","128170","Brewery Apartments","Not Submitted","1301 1311 W FLETCHER ST",,"0.0","false","LAKE VIEW",,,,,,,,,,,,,,,,,,"41.93884641","-87.66171973","POINT (-87.66171973 41.93884641)"
