primary_property_type,mean_site_eui,mean_ghg_emissions,mean_energy_star_score,num_buildings
Multifamily Housing,77.96410667983702,1317.1170175906184,61.46974683544304,1696
K-12 School,77.7595665961945,825.0277127659575,46.96723044397463,561
Office,75.81077000503271,3860.2964247020586,65.18256578947368,417
Residential,,,,327
Commercial,,,,133
College/University,222.5250485436893,2202.8416173570017,,115
Hotel,125.59256756756757,3739.089408866995,52.05896226415094,103
Senior Care Community,125.36258992805756,1007.4257731958763,35.70289855072464,73
Senior Living Community,113.5178861788618,812.0052845528455,42.32231404958678,72
Retail Store,87.24584980237154,1415.8460580912863,55.70952380952381,66
Supermarket/Grocery Store,249.2089219330855,1888.8115384615385,55.33976833976834,57
Mixed Use Property,100.57268292682927,6796.299999999999,52.472727272727276,48
Strip Mall,92.19769230769231,1194.6476190476192,,42
Other,86.4392,1427.5272727272727,,41
Residence Hall/Dormitory,81.49347826086957,1422.3867647058823,69.25833333333334,33
Laboratory,316.7798319327731,5884.821008403361,,31
Hospital (General Medical & Surgical),261.6456,22766.996638655462,55.112,31
Worship Facility,175.266,1096.2844444444445,30.26,21
Other - Recreation,110.09268292682927,665.3923076923077,,20
Medical Office,119.47831325301206,2782.8088607594937,43.43589743589744,20
Multifamily Housing,,,,14
Residential Care Facility,123.9140625,987.471186440678,,13
Fitness Center/Health Club/Gym,154.18245614035087,2322.5642857142857,,13
Enclosed Mall,112.43953488372092,3866.152631578947,,11
Performing Arts,98.88333333333334,1458.1083333333333,,10
Wholesale Club/Supercenter,109.17812500000001,1624.2444444444443,38.59375,9
Museum,120.68888888888888,6864.029629629629,,8
Other - Mall,95.65,1523.2653846153846,,8
Library,126.52727272727272,3167.6772727272723,,8
Movie Theater,137.76190476190476,1001.4476190476191,,7
Data Center,695.2142857142857,32970.83888888889,45.72222222222222,7
Automobile Dealership,111.0,1319.9214285714286,,7
Other - Specialty Hospital,196.9925925925926,2130.9407407407407,,6
Financial Office,93.35652173913043,9238.03,68.26086956521739,6
Other - Entertainment/Public Assembly,87.58636363636364,1019.3761904761906,,5
Other - Lodging/Residential,1074.1090909090908,2173.3,,5
Social/Meeting Hall,118.93076923076923,1071.2,,5
Outpatient Rehabilitation/Physical Therapy,145.96,2690.96,,4
Other - Public Services,120.10714285714286,880.7538461538461,,3
Adult Education,117.73571428571428,1786.2307692307693,,3
Bank Branch,101.825,767.05,21.0,3
Courthouse,80.30000000000001,4865.283333333334,62.07692307692308,3
Other - Education,122.625,1745.325,,2
Not Available,,,,2
Lodging,,,,2
Pre-school/Daycare,73.18333333333334,1037.5583333333334,,2
Prison/Incarceration,121.47142857142856,35657.17142857143,,2
Vehicle Dealership,115.95,1172.825,8.5,2
Urgent Care/Clinic/Other Outpatient,64.47999999999999,339.12,,2
Convention Center,111.03333333333333,60895.666666666664,,2
Distribution Center,78.2,371.2,5.0,1
Commerce de détail,76.3,1602.2,61.0,1
Ice/Curling Rink,180.6,2628.48,,1
Food Service,,,,1
Health Care,,,,1
Other - Services,121.6,550.8399999999999,,1
Indoor Arena,72.1,10133.65,,1
Lifestyle Center,62.260000000000005,993.26,,1
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",17.900000000000002,124.73333333333333,,1
Ambulatory Surgical Center,255.15,14439.0,,1
Municipal,,,,1
